timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1741651200000,2025-03-11T00:00:00Z,1842-1-1-001,,,,,device_not_recording
1741651260000,2025-03-11T00:01:00Z,1842-1-1-001,,,,,device_not_recording
1741651320000,2025-03-11T00:02:00Z,1842-1-1-001,,,,,device_not_recording
1741651380000,2025-03-11T00:03:00Z,1842-1-1-001,,,,,device_not_recording
1741651440000,2025-03-11T00:04:00Z,1842-1-1-001,,,,,device_not_recording
1741651500000,2025-03-11T00:05:00Z,1842-1-1-001,,,,,device_not_recording
1741651560000,2025-03-11T00:06:00Z,1842-1-1-001,,,,,device_not_recording
1741651620000,2025-03-11T00:07:00Z,1842-1-1-001,,,,,device_not_recording
1741651680000,2025-03-11T00:08:00Z,1842-1-1-001,,,,,device_not_recording
1741651740000,2025-03-11T00:09:00Z,1842-1-1-001,,,,,device_not_recording
1741651800000,2025-03-11T00:10:00Z,1842-1-1-001,,,,,device_not_recording
1741651860000,2025-03-11T00:11:00Z,1842-1-1-001,,,,,device_not_recording
1741651920000,2025-03-11T00:12:00Z,1842-1-1-001,,,,,device_not_recording
1741651980000,2025-03-11T00:13:00Z,1842-1-1-001,,,,,device_not_recording
1741652040000,2025-03-11T00:14:00Z,1842-1-1-001,,,,,device_not_recording
1741652100000,2025-03-11T00:15:00Z,1842-1-1-001,,,,,device_not_recording
1741652160000,2025-03-11T00:16:00Z,1842-1-1-001,,,,,device_not_recording
1741652220000,2025-03-11T00:17:00Z,1842-1-1-001,,,,,device_not_recording
1741652280000,2025-03-11T00:18:00Z,1842-1-1-001,,,,,device_not_recording
1741652340000,2025-03-11T00:19:00Z,1842-1-1-001,,,,,device_not_recording
1741652400000,2025-03-11T00:20:00Z,1842-1-1-001,,,,,device_not_recording
1741652460000,2025-03-11T00:21:00Z,1842-1-1-001,,,,,device_not_recording
1741652520000,2025-03-11T00:22:00Z,1842-1-1-001,,,,,device_not_recording
1741652580000,2025-03-11T00:23:00Z,1842-1-1-001,,,,,device_not_recording
1741652640000,2025-03-11T00:24:00Z,1842-1-1-001,,,,,device_not_recording
1741652700000,2025-03-11T00:25:00Z,1842-1-1-001,,,,,device_not_recording
1741652760000,2025-03-11T00:26:00Z,1842-1-1-001,,,,,device_not_recording
1741652820000,2025-03-11T00:27:00Z,1842-1-1-001,,,,,device_not_recording
1741652880000,2025-03-11T00:28:00Z,1842-1-1-001,,,,,device_not_recording
1741652940000,2025-03-11T00:29:00Z,1842-1-1-001,,,,,device_not_recording
1741653000000,2025-03-11T00:30:00Z,1842-1-1-001,,,,,device_not_recording
1741653060000,2025-03-11T00:31:00Z,1842-1-1-001,,,,,device_not_recording
1741653120000,2025-03-11T00:32:00Z,1842-1-1-001,,,,,device_not_recording
1741653180000,2025-03-11T00:33:00Z,1842-1-1-001,,,,,device_not_recording
1741653240000,2025-03-11T00:34:00Z,1842-1-1-001,,,,,device_not_recording
1741653300000,2025-03-11T00:35:00Z,1842-1-1-001,,,,,device_not_recording
1741653360000,2025-03-11T00:36:00Z,1842-1-1-001,,,,,device_not_recording
1741653420000,2025-03-11T00:37:00Z,1842-1-1-001,,,,,device_not_recording
1741653480000,2025-03-11T00:38:00Z,1842-1-1-001,,,,,device_not_recording
1741653540000,2025-03-11T00:39:00Z,1842-1-1-001,,,,,device_not_recording
1741653600000,2025-03-11T00:40:00Z,1842-1-1-001,152,296,11,332,
1741653660000,2025-03-11T00:41:00Z,1842-1-1-001,921,2626,2127,3502,
1741653720000,2025-03-11T00:42:00Z,1842-1-1-001,728,670,462,1091,
1741653780000,2025-03-11T00:43:00Z,1842-1-1-001,163,64,188,256,
1741653840000,2025-03-11T00:44:00Z,1842-1-1-001,344,1041,1184,1613,
1741653900000,2025-03-11T00:45:00Z,1842-1-1-001,657,889,639,1276,
1741653960000,2025-03-11T00:46:00Z,1842-1-1-001,339,457,409,700,
1741654020000,2025-03-11T00:47:00Z,1842-1-1-001,690,664,870,1293,
1741654080000,2025-03-11T00:48:00Z,1842-1-1-001,376,229,378,580,
1741654140000,2025-03-11T00:49:00Z,1842-1-1-001,0,56,0,56,
1741654200000,2025-03-11T00:50:00Z,1842-1-1-001,86,58,62,120,
1741654260000,2025-03-11T00:51:00Z,1842-1-1-001,2122,2812,1793,3952,
1741654320000,2025-03-11T00:52:00Z,1842-1-1-001,553,1243,884,1622,
1741654380000,2025-03-11T00:53:00Z,1842-1-1-001,1103,1037,1203,1933,
1741654440000,2025-03-11T00:54:00Z,1842-1-1-001,0,86,84,120,
1741654500000,2025-03-11T00:55:00Z,1842-1-1-001,0,11,0,11,
1741654560000,2025-03-11T00:56:00Z,1842-1-1-001,0,24,0,24,
1741654620000,2025-03-11T00:57:00Z,1842-1-1-001,988,1600,1441,2369,
1741654680000,2025-03-11T00:58:00Z,1842-1-1-001,1310,1331,2039,2764,
1741654740000,2025-03-11T00:59:00Z,1842-1-1-001,1186,2569,1443,3176,
1741654800000,2025-03-11T01:00:00Z,1842-1-1-001,0,25,0,25,
1741654860000,2025-03-11T01:01:00Z,1842-1-1-001,531,1529,1082,1946,
1741654920000,2025-03-11T01:02:00Z,1842-1-1-001,0,0,96,96,
1741654980000,2025-03-11T01:03:00Z,1842-1-1-001,3725,3308,2935,5782,
1741655040000,2025-03-11T01:04:00Z,1842-1-1-001,116,246,80,283,
1741655100000,2025-03-11T01:05:00Z,1842-1-1-001,1017,1712,1125,2287,
1741655160000,2025-03-11T01:06:00Z,1842-1-1-001,2866,4022,3730,6188,
1741655220000,2025-03-11T01:07:00Z,1842-1-1-001,1137,1795,1895,2847,
1741655280000,2025-03-11T01:08:00Z,1842-1-1-001,5495,6297,6099,10346,
1741655340000,2025-03-11T01:09:00Z,1842-1-1-001,1910,1673,2001,3232,
1741655400000,2025-03-11T01:10:00Z,1842-1-1-001,1204,2045,1027,2585,
1741655460000,2025-03-11T01:11:00Z,1842-1-1-001,1190,1340,1655,2439,
1741655520000,2025-03-11T01:12:00Z,1842-1-1-001,431,243,1190,1288,
1741655580000,2025-03-11T01:13:00Z,1842-1-1-001,413,423,804,997,
1741655640000,2025-03-11T01:14:00Z,1842-1-1-001,2781,3718,3122,5595,
1741655700000,2025-03-11T01:15:00Z,1842-1-1-001,300,784,376,919,
1741655760000,2025-03-11T01:16:00Z,1842-1-1-001,6,227,141,267,
1741655820000,2025-03-11T01:17:00Z,1842-1-1-001,0,6,0,6,
1741655880000,2025-03-11T01:18:00Z,1842-1-1-001,8,8,31,33,
1741655940000,2025-03-11T01:19:00Z,1842-1-1-001,22,77,59,99,
1741656000000,2025-03-11T01:20:00Z,1842-1-1-001,2,4,0,4,
1741656060000,2025-03-11T01:21:00Z,1842-1-1-001,0,13,5,13,
1741656120000,2025-03-11T01:22:00Z,1842-1-1-001,0,65,30,71,
1741656180000,2025-03-11T01:23:00Z,1842-1-1-001,0,3,7,7,
1741656240000,2025-03-11T01:24:00Z,1842-1-1-001,1260,1776,1143,2459,
1741656300000,2025-03-11T01:25:00Z,1842-1-1-001,418,865,639,1153,
1741656360000,2025-03-11T01:26:00Z,1842-1-1-001,0,6,0,6,
1741656420000,2025-03-11T01:27:00Z,1842-1-1-001,339,337,324,577,
1741656480000,2025-03-11T01:28:00Z,1842-1-1-001,648,174,475,822,
1741656540000,2025-03-11T01:29:00Z,1842-1-1-001,409,536,216,707,
1741656600000,2025-03-11T01:30:00Z,1842-1-1-001,0,32,0,32,
1741656660000,2025-03-11T01:31:00Z,1842-1-1-001,0,0,0,0,
1741656720000,2025-03-11T01:32:00Z,1842-1-1-001,1842,3593,2480,4738,
1741656780000,2025-03-11T01:33:00Z,1842-1-1-001,2048,2533,2103,3877,
1741656840000,2025-03-11T01:34:00Z,1842-1-1-001,0,0,0,0,
1741656900000,2025-03-11T01:35:00Z,1842-1-1-001,0,0,0,0,
1741656960000,2025-03-11T01:36:00Z,1842-1-1-001,0,0,0,0,
1741657020000,2025-03-11T01:37:00Z,1842-1-1-001,0,0,0,0,
1741657080000,2025-03-11T01:38:00Z,1842-1-1-001,1247,1833,1162,2503,
1741657140000,2025-03-11T01:39:00Z,1842-1-1-001,1696,1758,2646,3601,
1741657200000,2025-03-11T01:40:00Z,1842-1-1-001,3268,3769,3778,6257,
1741657260000,2025-03-11T01:41:00Z,1842-1-1-001,4433,3652,5557,7991,
1741657320000,2025-03-11T01:42:00Z,1842-1-1-001,3319,1807,3506,5154,
1741657380000,2025-03-11T01:43:00Z,1842-1-1-001,3327,3356,6033,7663,
1741657440000,2025-03-11T01:44:00Z,1842-1-1-001,3901,3229,5096,7184,
1741657500000,2025-03-11T01:45:00Z,1842-1-1-001,2930,2766,3842,5567,
1741657560000,2025-03-11T01:46:00Z,1842-1-1-001,2408,1853,3714,4798,
1741657620000,2025-03-11T01:47:00Z,1842-1-1-001,2767,2139,3891,5231,
1741657680000,2025-03-11T01:48:00Z,1842-1-1-001,1568,1290,2944,3576,
1741657740000,2025-03-11T01:49:00Z,1842-1-1-001,3448,2561,4341,6106,
1741657800000,2025-03-11T01:50:00Z,1842-1-1-001,4945,5901,6202,9886,
1741657860000,2025-03-11T01:51:00Z,1842-1-1-001,3285,2025,4931,6261,
1741657920000,2025-03-11T01:52:00Z,1842-1-1-001,3565,2205,4506,6154,
1741657980000,2025-03-11T01:53:00Z,1842-1-1-001,1930,934,2532,3317,
1741658040000,2025-03-11T01:54:00Z,1842-1-1-001,2945,2777,4568,6103,
1741658100000,2025-03-11T01:55:00Z,1842-1-1-001,3412,2616,4666,6344,
1741658160000,2025-03-11T01:56:00Z,1842-1-1-001,4012,3684,3464,6455,
1741658220000,2025-03-11T01:57:00Z,1842-1-1-001,2291,1017,2196,3332,
1741658280000,2025-03-11T01:58:00Z,1842-1-1-001,945,414,895,1365,
1741658340000,2025-03-11T01:59:00Z,1842-1-1-001,2900,1806,4332,5517,
1741658400000,2025-03-11T02:00:00Z,1842-1-1-001,2576,3512,3237,5426,
1741658460000,2025-03-11T02:01:00Z,1842-1-1-001,1311,2347,3918,4751,
1741658520000,2025-03-11T02:02:00Z,1842-1-1-001,4660,4518,4226,7745,
1741658580000,2025-03-11T02:03:00Z,1842-1-1-001,977,1789,3430,3989,
1741658640000,2025-03-11T02:04:00Z,1842-1-1-001,6323,5731,5448,10124,
1741658700000,2025-03-11T02:05:00Z,1842-1-1-001,5609,5711,5931,9962,
1741658760000,2025-03-11T02:06:00Z,1842-1-1-001,3100,3139,3075,5377,
1741658820000,2025-03-11T02:07:00Z,1842-1-1-001,935,3404,969,3660,
1741658880000,2025-03-11T02:08:00Z,1842-1-1-001,0,0,0,0,
1741658940000,2025-03-11T02:09:00Z,1842-1-1-001,0,0,0,0,
1741659000000,2025-03-11T02:10:00Z,1842-1-1-001,756,1654,460,1875,
1741659060000,2025-03-11T02:11:00Z,1842-1-1-001,1408,972,1515,2285,
1741659120000,2025-03-11T02:12:00Z,1842-1-1-001,1085,1067,579,1628,
1741659180000,2025-03-11T02:13:00Z,1842-1-1-001,785,360,1325,1581,
1741659240000,2025-03-11T02:14:00Z,1842-1-1-001,1625,2105,3044,4041,
1741659300000,2025-03-11T02:15:00Z,1842-1-1-001,36,60,108,128,
1741659360000,2025-03-11T02:16:00Z,1842-1-1-001,307,360,646,800,
1741659420000,2025-03-11T02:17:00Z,1842-1-1-001,1221,841,2315,2749,
1741659480000,2025-03-11T02:18:00Z,1842-1-1-001,2739,2611,3294,5016,
1741659540000,2025-03-11T02:19:00Z,1842-1-1-001,4672,3204,5818,8120,
1741659600000,2025-03-11T02:20:00Z,1842-1-1-001,2302,2480,3093,4584,
1741659660000,2025-03-11T02:21:00Z,1842-1-1-001,1668,1147,1804,2711,
1741659720000,2025-03-11T02:22:00Z,1842-1-1-001,2664,1888,1819,3737,
1741659780000,2025-03-11T02:23:00Z,1842-1-1-001,3656,4002,3544,6476,
1741659840000,2025-03-11T02:24:00Z,1842-1-1-001,3788,1998,2418,4918,
1741659900000,2025-03-11T02:25:00Z,1842-1-1-001,4060,2482,2733,5487,
1741659960000,2025-03-11T02:26:00Z,1842-1-1-001,4653,2699,3236,6277,
1741660020000,2025-03-11T02:27:00Z,1842-1-1-001,3126,3280,3933,5999,
1741660080000,2025-03-11T02:28:00Z,1842-1-1-001,3988,3602,4462,6984,
1741660140000,2025-03-11T02:29:00Z,1842-1-1-001,2343,1455,2630,3810,
1741660200000,2025-03-11T02:30:00Z,1842-1-1-001,,,,,device_not_recording
1741660260000,2025-03-11T02:31:00Z,1842-1-1-001,,,,,device_not_recording
1741660320000,2025-03-11T02:32:00Z,1842-1-1-001,,,,,device_not_recording
1741660380000,2025-03-11T02:33:00Z,1842-1-1-001,,,,,device_not_recording
1741660440000,2025-03-11T02:34:00Z,1842-1-1-001,,,,,device_not_recording
1741660500000,2025-03-11T02:35:00Z,1842-1-1-001,,,,,device_not_recording
1741660560000,2025-03-11T02:36:00Z,1842-1-1-001,0,27,111,114,
1741660620000,2025-03-11T02:37:00Z,1842-1-1-001,816,1071,1735,2196,
1741660680000,2025-03-11T02:38:00Z,1842-1-1-001,1417,1626,1589,2678,
1741660740000,2025-03-11T02:39:00Z,1842-1-1-001,312,267,1335,1396,
1741660800000,2025-03-11T02:40:00Z,1842-1-1-001,1035,1426,2039,2694,
1741660860000,2025-03-11T02:41:00Z,1842-1-1-001,369,1025,1806,2109,
1741660920000,2025-03-11T02:42:00Z,1842-1-1-001,98,366,869,948,
1741660980000,2025-03-11T02:43:00Z,1842-1-1-001,1120,1932,1599,2746,
1741661040000,2025-03-11T02:44:00Z,1842-1-1-001,3204,2126,3041,4902,
1741661100000,2025-03-11T02:45:00Z,1842-1-1-001,3104,2598,5374,6727,
1741661160000,2025-03-11T02:46:00Z,1842-1-1-001,2778,2051,5718,6679,
1741661220000,2025-03-11T02:47:00Z,1842-1-1-001,2807,3126,4818,6392,
1741661280000,2025-03-11T02:48:00Z,1842-1-1-001,2188,1297,1041,2748,
1741661340000,2025-03-11T02:49:00Z,1842-1-1-001,576,136,448,742,
1741661400000,2025-03-11T02:50:00Z,1842-1-1-001,1901,1221,905,2433,
1741661460000,2025-03-11T02:51:00Z,1842-1-1-001,686,309,307,812,
1741661520000,2025-03-11T02:52:00Z,1842-1-1-001,667,884,1190,1625,
1741661580000,2025-03-11T02:53:00Z,1842-1-1-001,77,205,91,237,
1741661640000,2025-03-11T02:54:00Z,1842-1-1-001,285,79,66,303,
1741661700000,2025-03-11T02:55:00Z,1842-1-1-001,1123,1479,1598,2449,
1741661760000,2025-03-11T02:56:00Z,1842-1-1-001,2645,1795,2627,4137,
1741661820000,2025-03-11T02:57:00Z,1842-1-1-001,4120,2436,3056,5678,
1741661880000,2025-03-11T02:58:00Z,1842-1-1-001,3398,2061,3489,5288,
1741661940000,2025-03-11T02:59:00Z,1842-1-1-001,2437,2096,3174,4517,
1741662000000,2025-03-11T03:00:00Z,1842-1-1-001,5645,3830,4773,8325,
1741662060000,2025-03-11T03:01:00Z,1842-1-1-001,2538,3674,3231,5511,
1741662120000,2025-03-11T03:02:00Z,1842-1-1-001,2370,3260,1651,4355,
1741662180000,2025-03-11T03:03:00Z,1842-1-1-001,2703,4384,3274,6102,
1741662240000,2025-03-11T03:04:00Z,1842-1-1-001,1661,3671,4395,5962,
1741662300000,2025-03-11T03:05:00Z,1842-1-1-001,1882,5231,4074,6892,
1741662360000,2025-03-11T03:06:00Z,1842-1-1-001,947,1627,1820,2618,
1741662420000,2025-03-11T03:07:00Z,1842-1-1-001,563,1737,2362,2985,
1741662480000,2025-03-11T03:08:00Z,1842-1-1-001,1594,3252,1900,4089,
1741662540000,2025-03-11T03:09:00Z,1842-1-1-001,321,946,584,1157,
1741662600000,2025-03-11T03:10:00Z,1842-1-1-001,1069,2490,1382,3041,
1741662660000,2025-03-11T03:11:00Z,1842-1-1-001,1357,3578,1943,4291,
1741662720000,2025-03-11T03:12:00Z,1842-1-1-001,690,2161,1809,2901,
1741662780000,2025-03-11T03:13:00Z,1842-1-1-001,1062,2693,3085,4230,
1741662840000,2025-03-11T03:14:00Z,1842-1-1-001,291,1031,737,1300,
1741662900000,2025-03-11T03:15:00Z,1842-1-1-001,1031,3573,2285,4364,
1741662960000,2025-03-11T03:16:00Z,1842-1-1-001,495,1431,766,1696,
1741663020000,2025-03-11T03:17:00Z,1842-1-1-001,2037,3721,3381,5424,
1741663080000,2025-03-11T03:18:00Z,1842-1-1-001,1208,3619,3291,5038,
1741663140000,2025-03-11T03:19:00Z,1842-1-1-001,166,803,658,1051,
1741663200000,2025-03-11T03:20:00Z,1842-1-1-001,513,782,854,1266,
1741663260000,2025-03-11T03:21:00Z,1842-1-1-001,547,1346,1287,1940,
1741663320000,2025-03-11T03:22:00Z,1842-1-1-001,468,462,1144,1319,
1741663380000,2025-03-11T03:23:00Z,1842-1-1-001,1042,1764,882,2230,
1741663440000,2025-03-11T03:24:00Z,1842-1-1-001,,,,,device_not_recording
1741663500000,2025-03-11T03:25:00Z,1842-1-1-001,2943,3556,2028,5041,
1741663560000,2025-03-11T03:26:00Z,1842-1-1-001,955,2840,1148,3208,
1741663620000,2025-03-11T03:27:00Z,1842-1-1-001,2442,3888,2146,5068,
1741663680000,2025-03-11T03:28:00Z,1842-1-1-001,1008,1445,1301,2190,
1741663740000,2025-03-11T03:29:00Z,1842-1-1-001,207,16,690,720,
1741663800000,2025-03-11T03:30:00Z,1842-1-1-001,160,361,554,680,
1741663860000,2025-03-11T03:31:00Z,1842-1-1-001,,,,,device_not_recording
1741663920000,2025-03-11T03:32:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741663980000,2025-03-11T03:33:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664040000,2025-03-11T03:34:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664100000,2025-03-11T03:35:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664160000,2025-03-11T03:36:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664220000,2025-03-11T03:37:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664280000,2025-03-11T03:38:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664340000,2025-03-11T03:39:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664400000,2025-03-11T03:40:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664460000,2025-03-11T03:41:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664520000,2025-03-11T03:42:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664580000,2025-03-11T03:43:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664640000,2025-03-11T03:44:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664700000,2025-03-11T03:45:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664760000,2025-03-11T03:46:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664820000,2025-03-11T03:47:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664880000,2025-03-11T03:48:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741664940000,2025-03-11T03:49:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741665000000,2025-03-11T03:50:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741665060000,2025-03-11T03:51:00Z,1842-1-1-001,,,,,device_not_worn_correctly
1741665120000,2025-03-11T03:52:00Z,1842-1-1-001,,,,,device_not_recording
1741665180000,2025-03-11T03:53:00Z,1842-1-1-001,1102,2255,2240,3364,
1741665240000,2025-03-11T03:54:00Z,1842-1-1-001,5236,4024,5938,8880,
1741665300000,2025-03-11T03:55:00Z,1842-1-1-001,2630,4197,3800,6242,
1741665360000,2025-03-11T03:56:00Z,1842-1-1-001,446,1539,907,1841,
1741665420000,2025-03-11T03:57:00Z,1842-1-1-001,827,2051,1504,2674,
1741665480000,2025-03-11T03:58:00Z,1842-1-1-001,1372,2770,1593,3477,
1741665540000,2025-03-11T03:59:00Z,1842-1-1-001,678,1842,1619,2544,
1741665600000,2025-03-11T04:00:00Z,1842-1-1-001,1199,2249,1969,3220,
1741665660000,2025-03-11T04:01:00Z,1842-1-1-001,2379,2473,1880,3912,
1741665720000,2025-03-11T04:02:00Z,1842-1-1-001,1323,3794,2275,4617,
1741665780000,2025-03-11T04:03:00Z,1842-1-1-001,879,1805,1086,2282,
1741665840000,2025-03-11T04:04:00Z,1842-1-1-001,985,2144,767,2480,
1741665900000,2025-03-11T04:05:00Z,1842-1-1-001,1689,3540,2895,4874,
